model,dataset1_mean,dataset1_sem,dataset2_mean,dataset2_sem,dataset3_mean,dataset3_sem,dataset4_mean,dataset4_sem
contrastModel: g,1.27369062982366,0.154885086835397,1.32961155777203,0.0974443937758403,1.75178688002779,0.125181575348547,2.57793265762497,0.289715333360744
contrastModel: n,0.173611723816077,0.0280345337920257,0.144081339419427,0.0174698512849571,0.0876966994472595,0.0213653967521484,0.157681435337582,0.0349004876126696
socModel: c,3346.37225320021,14190.7211917731,1.47103109275404,0.183787878797238,1.64074310369456,0.000981603523212503,1.63663369936275,0.00162993841911555
socModel: g,1.4270858285778,0.350578843598484,1.64027243560872,0.0906194467459407,2.49287408913995,0.117360695565631,3.94342075436888,0.270744995982097
socModel: n,0.112934543547713,0.0104452713216195,0.103150920846545,0.00695904876558937,0.0828792400014626,0.00533487338114595,0.122324361639264,0.0094011257634815
oriSurroundModel: w,187.872948981817,14.4935391859054,0.690062592360721,2.92510698730311,144.841072700434,26.9895787922674,174.171870078202,19.381007601466
oriSurroundModel: g,225.906920417042,38.3057865473766,1.35638942562627,0.121645469582288,23.4337114509452,9.88017578298018,231.756723280991,30.6421173428854
oriSurroundModel: n,0.921308162330187,0.0346426268357816,0.14739871351493,0.0182674996629645,0.479794823051442,0.0486231098526302,0.833634019934251,0.0373406819652357
normVarModel: w,678.455724947488,83.6777951409744,339.779897049106,33.7025222855875,766.167081399497,93.7306390350383,858.530003548811,57.5599438714963
normVarModel: g,40.3635298810919,5.51890604870783,6.8239192991599,0.478286802035584,11.6057055784868,1.12645837949572,38.6103197697792,6.6213977159437
normVarModel: n,0.373233335467867,0.00932595123635722,0.220178927809044,0.0063870343250732,0.196695569660911,0.00810736527466752,0.286870248163702,0.0151844226277854
