model,dataset1_mean,dataset1_sem,dataset2_mean,dataset2_sem,dataset3_mean,dataset3_sem,dataset4_mean,dataset4_sem
contrastModel: g,1.49344783775631,0.296030651504148,3.42584519530312,0.17607072024886,2.12210515767809,0.283487820174328,3.14131391122572,0.307676488831525
contrastModel: n,0.406280032371607,0.0481295670961178,0.288712051903422,0.0130699469097695,0.221383376888305,0.0369090198704664,0.284504951212723,0.0334845284112501
socModel: c,4135.67137945439,12254.2466309593,2110.47492933967,8953.43352857383,6143493.29642054,24948285.3757534,24424.4004843763,31169.2202099502
socModel: g,1.1819467921212,0.457594121375381,2.99860267146014,0.728833256942495,1.3175183295986,1.03594962801924,1.73543174115342,1.56021316115698
socModel: n,0.194547953932412,0.0253128483455499,0.158564309603338,0.00620462268811107,0.10300375275682,0.0218075593195087,0.13047791453346,0.0241699799936354
oriSurroundModel: w,54.5918692337782,18.0959066244376,3.88832335220037,8.42319931603832,126.920361673842,14.5136043146507,114.346292279401,13.825867580798
oriSurroundModel: g,244.689361016667,0.00127737235141965,4.96169873718587,3.15306618956298,244.650511128594,0.135118901383312,244.691464098345,0.000258883229149228
oriSurroundModel: n,1.23752093417729,0.040318442735639,0.330986746273744,0.082512232048325,0.951376113001349,0.0162063975703963,0.924677702946141,0.0177142776547903
normVarModel: w,151.594336034149,24.2903856943792,63.6102839446577,5.24417363638299,221.559127019567,27.4435547522727,406.285212611431,47.8956805595752
normVarModel: g,23.1993629479949,8.62065974493813,6.38777730760111,0.228742698501323,12.6545452548377,1.41937413131924,23.2932582767072,5.00600914256338
normVarModel: n,0.491312797621333,0.0452409510231916,0.214388111945391,0.00493009901751144,0.280090171408131,0.0130209556248294,0.291218300455805,0.0190714590137045
