model,dataset1_mean,dataset1_sem,dataset2_mean,dataset2_sem,dataset3_mean,dataset3_sem,dataset4_mean,dataset4_sem
contrastModel: g,1.4256388365039,0.0504810955995507,1.93436799247834,0.0436758611144024,1.50485755415828,0.0230252285898423,1.38805372007162,0.0321486821611383
contrastModel: n,0.22437033419673,0.00863337401131944,0.238559415499915,0.00616534930732136,0.0917199946992433,0.00508721523105403,0.0882913261091247,0.00709500756040103
socModel: c,4078.14021078204,28825.5891237338,1.47694199540767,0.401974622596519,1.64755045072491,0.000671137657992182,1.6434727528031,0.000293911197859464
socModel: g,1.51511053229112,0.214556093777699,2.01062033366707,0.0623973539121228,2.61449199375773,0.0786322043017218,3.16533058320683,0.132504088621716
socModel: n,0.132437271506422,0.0046471642892662,0.131940394672386,0.0031739976709055,0.0976015161831133,0.00331775529287152,0.129425182499236,0.00467035298742958
oriSurroundModel: w,76.0527313108275,5.65082787636745,38.788730060076,4.49460385838015,33.3615568098273,3.737368683828,51.9334392067007,7.90178543183921
oriSurroundModel: g,16.2917856241338,1.97120411457535,9.89652655121342,1.11095596788459,4.71609316984938,0.382872496130864,8.02649087710562,1.06206323332779
oriSurroundModel: n,0.586459265834295,0.0190503689737126,0.513821476713337,0.0156600601550981,0.300895322256133,0.0143387910222748,0.404163996497068,0.0226770435797405
normVarModel: w,191.358386939481,8.9331867904283,50.1335159132489,2.16460388733662,201.673129773766,17.0975858688441,354.801855114023,47.9649976080057
normVarModel: g,4.45897952683609,0.181489000798471,2.91343900865259,0.0737180360764848,5.62720923016604,0.265266025334226,14.8719998069049,1.37806618328597
normVarModel: n,0.219296488044573,0.00473946186862133,0.168474112128237,0.0033555583687613,0.171800381591172,0.00403333513671392,0.264018124652855,0.00569490749753659
