model,dataset1_mean,dataset1_sem,dataset2_mean,dataset2_sem,dataset3_mean,dataset3_sem,dataset4_mean,dataset4_sem
contrastModel: g,1.37842609180363,0.0420849811914059,1.62156816188048,0.0403128736944596,1.53344616691394,0.0207151024066209,1.76306554934204,0.0359549068047244
contrastModel: n,0.170717689911294,0.0071771242755961,0.186438759480788,0.0068994687009898,0.0859976093528211,0.00489735835135621,0.0925105700707805,0.00692934761384183
socModel: c,1.560687841686,0.185345668153727,1.4918695401797,0.0187687116072448,1.64435895981232,0.000368470377226072,1.64321003689437,0.000294578084389262
socModel: g,1.6683489218976,0.0449984167732574,1.91963105217043,0.0376618371409521,2.68604023058634,0.0672058317548258,4.16831584600474,0.150238906500601
socModel: n,0.120005676790672,0.00324771888232443,0.122597994236826,0.00299778738355603,0.0963409938515362,0.00278409392787618,0.135448083805119,0.0042738590419945
oriSurroundModel: w,51.3119530808674,4.50053368296112,12.5302971569353,2.34810465002915,30.2193839016247,4.29330513951221,31.03524836485,4.40324871146419
oriSurroundModel: g,5.87757079814987,0.480914723592547,2.72686952716421,0.234951403749129,3.88461831716073,0.302204629189982,6.19242644849092,0.633666080186217
oriSurroundModel: n,0.392315105145468,0.0132886250661358,0.279236006957652,0.0151032623336957,0.25506563902911,0.0132854996158807,0.329212721809222,0.0197303578127934
normVarModel: w,196.965304884647,8.31261752841254,79.467886427384,4.22557008207902,263.174304709661,24.7998859231752,328.914290640267,49.9351488069846
normVarModel: g,3.81351685563625,0.124205159446879,2.57372468401105,0.0781233297315613,5.3525773334984,0.25722083441601,14.2917061796096,1.3167041705609
normVarModel: n,0.182414084338552,0.00353396447776436,0.143000632832067,0.00382451533921309,0.155872052432583,0.00395480461948017,0.239327757015621,0.0054516979281511
